label	sentence
negative	Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .
neutral	ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .
neutral	When dialing in , the participants should quote 877417 as conference ID .
neutral	Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .
positive	`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .
neutral	The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .
neutral	Each year the dividend is deducted from the subscription price .
neutral	The new name of the Sanoma Division will be Sanoma News .
positive	In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .
positive	Through this transaction we are able to participate in developing the industry .
positive	The objective of the planned measures is to achieve significant savings in the next few years .
neutral	The deal was worth about EUR 1.2 mn .
positive	: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .
neutral	At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .
neutral	The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .
neutral	The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .
neutral	F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .
neutral	Jun. 14 , 2009 ( AOL Weblogs delivered by Newstex ) -- Looks like the E71 is about to be upstaged as Nokia 's ( NYSE : NOK ) premier business-class smartphone -- someone in Espoo 's just hit the corporate YouTube account with this promo video for an E72 .
neutral	The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .
neutral	`` We are selling an information systems development business to the Finns .
positive	Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .
negative	Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .
neutral	`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .
neutral	Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .
neutral	A huge issue for us is the button placement .
negative	Reported operating margin was a negative 5.9 % .
neutral	The bridge is part of the highway 14 development project .
neutral	The value of the order is EUR 700,000 .
neutral	The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .
negative	Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .
neutral	Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .
neutral	The construction of a large woodworking facility in the Sheksna district of the Vologda Region , in northwest Russia , will begin in 2009 , and the plant will start production in 2011 .
neutral	The veneer and plywood industry in Sweden is quite small despite the raw material resources .
neutral	The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .
neutral	Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .
negative	Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .
neutral	No financial details were provided .
neutral	Following the issue , the new shares will constitute 10 percent of the firm 's capital .
neutral	According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .
negative	Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .
neutral	The company does not at present hold any of its own shares .
positive	3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .
neutral	They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .
neutral	Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .
neutral	Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .
positive	Again , the most significant sales increase of 18.6 % was in Russia .
negative	Finnish media group Talentum has issued a profit warning .
positive	Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .
negative	stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .
neutral	- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .
neutral	The value of the deal is estimated at between SEK25m and SEK50m .
neutral	EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .
neutral	The sellers were the founders of the company .
neutral	Production is scheduled to start by the end of April 2007 .
neutral	The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .
negative	Finnish forest machinery manufacturer Ponsse has issued a profit warning .
positive	Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .
neutral	Delivery is expected to take place later this month .
positive	Sales in Finland rose by 3.9 % and international growth was 0.7 % .
neutral	No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .
neutral	Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .
neutral	CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .
neutral	About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .
neutral	Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .
negative	20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .
positive	EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .
positive	Sales VAT inclusive expanded by 19 percent , to 351 million euros .
negative	When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .
neutral	According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .
negative	In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .
positive	Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .
neutral	Initial estimated total value of the contract was 250 000 Euros , excluding VAT .
positive	Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .
positive	Both the net sales and operating profit were record high in the company 's history .
neutral	The Swedish player became majority owner of UCell in mid-2007 .
negative	Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .
neutral	The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .
neutral	Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .
positive	( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te
negative	Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .
negative	Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .
negative	Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .
positive	Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .
neutral	In 2007 , Contempus generated revenue of NOK 69.3 ( approx .
positive	This resulted in improved sales figures in Sweden .
positive	Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .
neutral	The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .
positive	Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .
positive	The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .
positive	The company will use the assets for strengthening its balance sheet and financial position .
neutral	This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .
neutral	Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .
neutral	Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .
neutral	Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .
neutral	The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .
neutral	Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .
neutral	Operating loss landed at EUR39m including one-offs and at EUR27m excluding one-offs .
neutral	An EU law on the issue may be introduced around 2010 .
neutral	The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .
positive	Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .
positive	Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .
neutral	The area will also include some central buildings , and Honkarakenne has started negotiations on their delivery .
neutral	Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .
neutral	The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .
neutral	In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .
neutral	Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .
positive	`` Our design team has long admired Marimekko 's vivid patterns and colors .
neutral	The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .
neutral	The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .
positive	Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .
neutral	The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .
neutral	The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .
neutral	At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .
neutral	Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
negative	Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .
positive	Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .
neutral	OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .
negative	Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .
negative	Net sales have been eaten by the weak US dollar .
neutral	Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .
neutral	The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .
neutral	The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .
neutral	According shipping company Viking Line , the EU decision will have a significant financial impact .
neutral	The enterprise value of Maritim Food AS has been determined as approximately EUR15m .
neutral	The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .
neutral	There did not seem to be enough hours in a day for Pekkarinen .
negative	Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .
neutral	Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .
positive	Sanoma Magazines ' net sales are estimated to grow in 2006 .
negative	In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .
neutral	The webcast may be followed online on the company website at www.ruukki.com/investors .
positive	The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .
positive	Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .
negative	Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .
negative	Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .
neutral	An appeal concerning the project has been lodged at the Czech Ministry of the Environment .
positive	Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .
negative	Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .
neutral	The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .
neutral	The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .
neutral	The agreement must be approved by the Russian competition authorities before it enters into force .
neutral	The segment has an annual revenue of approximately EUR400m , the company said .
neutral	It is expected to be online by 2011 .
positive	Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .
negative	Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .
positive	EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .
positive	UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .
neutral	In addition , the company is considering the start of production in Russia .
neutral	Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .
neutral	Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .
neutral	FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .
positive	The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .
positive	The Group aims to increase its net sales and comparable operating profit in 2006 .
neutral	The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .
neutral	Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .
neutral	The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .
neutral	M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+ñliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million .
positive	Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .
neutral	UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .
positive	Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .
negative	Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .
positive	After the renovation the biggest moulding line in the Orhangazi foundry is the most modern line in Europe .
negative	Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .
neutral	Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab .
positive	Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .
neutral	The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .
negative	Kiosk and cinema operations have suffered , in particular .
neutral	Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .
positive	The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .
neutral	Depending on the market situation , such projects are sold after 1 to 3 years after completion .
neutral	The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .
neutral	ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .
neutral	Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .
neutral	The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .
neutral	Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .
positive	Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .
neutral	Some of the lay-offs will be implemented using part-time employment contracts .
neutral	Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO .
neutral	Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .
positive	Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .
neutral	It has80 branches in Finland with annual revenue in Finland of ?
neutral	The investment will be worth approximately EUR 100mn .
positive	Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .
positive	Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .
neutral	The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .
neutral	Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .
neutral	Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .
neutral	The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .
positive	SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .
negative	Nokia Siemens Networks has struggled to make a profit in the past two years .
neutral	Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .
neutral	Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .
neutral	Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .
neutral	On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .
neutral	Competition authorities will have to approve the deal before it can be finalized .
positive	After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .
neutral	No service pricing details were disclosed .
neutral	The issuer is solely responsible for the content of this announcement .
neutral	Kemira 's R&D organization comprises approximately 750 people , the company said .
neutral	Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .
neutral	Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .
positive	Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .
neutral	The company has an annual turnover of EUR32 .8 m.
negative	ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf
neutral	The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .
neutral	Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .
neutral	In addition , MIDs are always online and enable full Internet browsing .
negative	Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .
neutral	Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares .
negative	Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .
neutral	Total value of the contract is about EUR 10mn .
neutral	Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .
neutral	Jon Risfelt has previously held operational executive positions in Europolitan , Ericsson , SAS , American Express card and travel divisions , as well as Nyman & Schultz ( CEO ) , Vodafone Sweden ( CEO ) , and Gambro Renal Products ( CEO ) .
neutral	The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .
neutral	The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .
neutral	The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .
neutral	The invention carries International Patent Publication No. .
positive	( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2
neutral	`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .
neutral	CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .
positive	The EPS improved to EUR0 .38 from EUR0 .27 .
neutral	Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .
neutral	Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .
negative	However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .
positive	The program 's target is structural cost reductions of about EUR 30mn in 2009 .
positive	`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .
neutral	Salcomp Manufacturing Oy will pay EUR 35 million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business .
neutral	Fortum is now considering taking part in nuclear energy projects outside of Finland .
positive	Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .
neutral	The project also implies an underground parking lot for 56 vehicles .
negative	The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .
positive	MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .
positive	In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .
positive	The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 .
neutral	Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .
neutral	The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .
neutral	According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .
neutral	The value of the orders is about EUR 70mn .
positive	EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .
positive	Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .
neutral	`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .
neutral	Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .
neutral	The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .
positive	Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .
neutral	Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .
neutral	Curators have divided their material into eight themes .
neutral	The transaction is expected to be completed next spring .
neutral	This includes a EUR 39.5 mn change in the fair value of investment properties .
negative	Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .
neutral	The appointments will be in force until the new CEO has been appointed .
neutral	According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .
positive	Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .
neutral	More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .
neutral	In addition , the contract includes modification of the effluent treatment plant at Follum .
neutral	Protalix has $ 42 million in cash and no sales .
positive	Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .
neutral	The highest growth would be in China , while weakening demand would continue in North America , UPM said .
neutral	No financial details were revealed .
neutral	Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .
neutral	Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .
neutral	The construction project is scheduled to start in the second quarter of 2009 and the new building is scheduled to be in place by the end of 2010 .
negative	Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .
negative	Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .
positive	Efficiency programs totalling 100 million euros are under way in Finnair .
neutral	Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .
positive	The new technology improves the glass quality and consistency while increasing throughput .
neutral	Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .
negative	On the other hand , Finnish sawmills ' production has decreased even more .
positive	In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .
neutral	`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .
neutral	Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .
neutral	The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .
